competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
preparing documentation and assisting in it projects.,menyiapkan dokumentasi dan membantu proyeknya.,preparing documentation and assisting in it projects.,menyiapkan dokumentasi dan membantu proyeknya. preparing documentation and assisting in it projects.
"basic knowledge of networking, firewall, windows server, active directory, and cloud (preferably aws).","pengetahuan dasar tentang jaringan, firewall, server windows, direktori aktif, dan cloud (lebih disukai aws).","basic knowledge of networking, firewall, windows server, active directory, and cloud (preferably aws).","pengetahuan dasar tentang jaringan, firewall, server windows, direktori aktif, dan cloud (lebih disukai aws). basic knowledge of networking, firewall, windows server, active directory, and cloud (preferably aws)."
"able to work collaboratively, communicate effectively with users, and resolve basic it issues.","mampu bekerja secara kolaboratif, berkomunikasi secara efektif dengan pengguna, dan menyelesaikan masalah-masalah dasar TI.","able to work collaboratively, communicate effectively with users, and resolve basic it issues.","mampu bekerja secara kolaboratif, berkomunikasi secara efektif dengan pengguna, dan menyelesaikan masalah-masalah dasar TI. able to work collaboratively, communicate effectively with users, and resolve basic it issues."
good documentation skills and willingness to learn new technologies.,keterampilan dokumentasi yang baik dan kemauan untuk mempelajari teknologi baru.,good documentation skills and willingness to learn new technologies.,keterampilan dokumentasi yang baik dan kemauan untuk mempelajari teknologi baru. good documentation skills and willingness to learn new technologies.
"menguasai troubleshooting perangkat keras it (laptop, pc) dan jaringan internet.","menguasai troubleshooting perangkat keras it (laptop, pc) dan jaringan internet.","master troubleshooting IT hardware (laptop, PC) and internet networks.","menguasai troubleshooting perangkat keras it (laptop, pc) dan jaringan internet. master troubleshooting IT hardware (laptop, PC) and internet networks."
kemampuan problem solving dan berpikir analitis.,kemampuan problem solving dan berpikir analitis.,problem solving and analytical thinking abilities.,kemampuan problem solving dan berpikir analitis. problem solving and analytical thinking abilities.
melakukan maintenance rutin terhadap perangkat hardware untuk dua lokasi kantor.,melakukan maintenance rutin terhadap perangkat hardware untuk dua lokasi kantor.,carry out routine maintenance on hardware devices for two office locations.,melakukan maintenance rutin terhadap perangkat hardware untuk dua lokasi kantor. carry out routine maintenance on hardware devices for two office locations.
memberikan dukungan teknis untuk internal grup secara onsite maupun remote.,memberikan dukungan teknis untuk internal grup secara onsite maupun remote.,providing technical support for internal groups both onsite and remotely.,memberikan dukungan teknis untuk internal grup secara onsite maupun remote. providing technical support for internal groups both onsite and remotely.
berkoordinasi dengan vendor eksternal terkait pengadaan dan perbaikan perangkat.,berkoordinasi dengan vendor eksternal terkait pengadaan dan perbaikan perangkat.,coordinating with external vendors regarding procurement and repair of devices.,berkoordinasi dengan vendor eksternal terkait pengadaan dan perbaikan perangkat. coordinating with external vendors regarding procurement and repair of devices.
"monitor and optimize server, network, and system performance.","memantau dan mengoptimalkan kinerja server, jaringan, dan sistem.","monitor and optimize server, network, and system performance.","memantau dan mengoptimalkan kinerja server, jaringan, dan sistem. monitor and optimize server, network, and system performance."
"install, configure, and maintain servers, firewalls, and network devices.","menginstal, mengkonfigurasi, dan memelihara server, firewall, dan perangkat jaringan.","install, configure, and maintain servers, firewalls, and network devices.","menginstal, mengkonfigurasi, dan memelihara server, firewall, dan perangkat jaringan. install, configure, and maintain servers, firewalls, and network devices."
handle troubleshooting for infrastructure and network security issues.,menangani pemecahan masalah untuk masalah infrastruktur dan keamanan jaringan.,handle troubleshooting for infrastructure and network security issues.,menangani pemecahan masalah untuk masalah infrastruktur dan keamanan jaringan. handle troubleshooting for infrastructure and network security issues.
"implement it security policies, access control, and data protection measures.","menerapkan kebijakan keamanan, kontrol akses, dan langkah-langkah perlindungan data.","implement it security policies, access control, and data protection measures.","menerapkan kebijakan keamanan, kontrol akses, dan langkah-langkah perlindungan data. implement it security policies, access control, and data protection measures."
"perform system updates, patching, and technical documentation.","melakukan pembaruan sistem, patching, dan dokumentasi teknis.","perform system updates, patching, and technical documentation.","melakukan pembaruan sistem, patching, dan dokumentasi teknis. perform system updates, patching, and technical documentation."
provide technical support for internal users and it projects.,memberikan dukungan teknis untuk pengguna internal dan proyeknya.,provide technical support for internal users and it projects.,memberikan dukungan teknis untuk pengguna internal dan proyeknya. provide technical support for internal users and it projects.
"strong knowledge of windows server/linux, virtualization (vmware/hyper-v),","pengetahuan yang kuat tentang windows server/linux, virtualisasi (vmware/hyper-v),","strong knowledge of windows server/linux, virtualization (vmware/hyper-v),","pengetahuan yang kuat tentang windows server/linux, virtualisasi (vmware/hyper-v), strong knowledge of windows server/linux, virtualization (vmware/hyper-v),"
and active directory.,dan direktori aktif.,and active directory.,dan direktori aktif. and active directory.
"solid understanding of networking (tcp/ip, vlan, vpn, routing, firewall).","pemahaman yang kuat tentang jaringan (tcp/ip, vlan, vpn, routing, firewall).","solid understanding of networking (tcp/ip, vlan, vpn, routing, firewall).","pemahaman yang kuat tentang jaringan (tcp/ip, vlan, vpn, routing, firewall). solid understanding of networking (tcp/ip, vlan, vpn, routing, firewall)."
"strong troubleshooting, communication, and teamwork skills.","keterampilan pemecahan masalah, komunikasi, dan kerja tim yang kuat.","strong troubleshooting, communication, and teamwork skills.","keterampilan pemecahan masalah, komunikasi, dan kerja tim yang kuat. strong troubleshooting, communication, and teamwork skills."
willing to work outside business hours when required.,bersedia bekerja di luar jam kerja bila diperlukan.,willing to work outside business hours when required.,bersedia bekerja di luar jam kerja bila diperlukan. willing to work outside business hours when required.
it certifications are a plus.,sertifikasi itu merupakan nilai tambah.,it certifications are a plus.,sertifikasi itu merupakan nilai tambah. it certifications are a plus.
"lead planning, execution, and delivery of it infrastructure and cybersecurity projects (network upgrades, cloud migration, server modernization, etc.).","memimpin perencanaan, pelaksanaan, dan pelaksanaan proyek infrastruktur dan keamanan siber (peningkatan jaringan, migrasi cloud, modernisasi server, dll.).","lead planning, execution, and delivery of it infrastructure and cybersecurity projects (network upgrades, cloud migration, server modernization, etc.).","memimpin perencanaan, pelaksanaan, dan pelaksanaan proyek infrastruktur dan keamanan siber (peningkatan jaringan, migrasi cloud, modernisasi server, dll.). lead planning, execution, and delivery of it infrastructure and cybersecurity projects (network upgrades, cloud migration, server modernization, etc.)."
"coordinate with infra, security, network, and application teams to ensure seamless implementation.","berkoordinasi dengan tim infra, keamanan, jaringan, dan aplikasi untuk memastikan implementasi yang lancar.","coordinate with infra, security, network, and application teams to ensure seamless implementation.","berkoordinasi dengan tim infra, keamanan, jaringan, dan aplikasi untuk memastikan implementasi yang lancar. coordinate with infra, security, network, and application teams to ensure seamless implementation."
"oversee infrastructure capacity planning, performance, and reliability improvements.","mengawasi perencanaan kapasitas infrastruktur, kinerja, dan peningkatan keandalan.","oversee infrastructure capacity planning, performance, and reliability improvements.","mengawasi perencanaan kapasitas infrastruktur, kinerja, dan peningkatan keandalan. oversee infrastructure capacity planning, performance, and reliability improvements."
"prepare project documentation, progress reports, and dashboards for leadership.","menyiapkan dokumentasi proyek, laporan kemajuan, dan dasbor untuk kepemimpinan.","prepare project documentation, progress reports, and dashboards for leadership.","menyiapkan dokumentasi proyek, laporan kemajuan, dan dasbor untuk kepemimpinan. prepare project documentation, progress reports, and dashboards for leadership."
act as an escalation point for critical infra/security issues during project delivery.,bertindak sebagai titik eskalasi untuk masalah infrastruktur/keamanan penting selama pelaksanaan proyek.,act as an escalation point for critical infra/security issues during project delivery.,bertindak sebagai titik eskalasi untuk masalah infrastruktur/keamanan penting selama pelaksanaan proyek. act as an escalation point for critical infra/security issues during project delivery.
"strong understanding of networks, servers, and cloud platforms (aws, gcp, azure).","pemahaman yang kuat tentang jaringan, server, dan platform cloud (aws, gcp, azure).","strong understanding of networks, servers, and cloud platforms (aws, gcp, azure).","pemahaman yang kuat tentang jaringan, server, dan platform cloud (aws, gcp, azure). strong understanding of networks, servers, and cloud platforms (aws, gcp, azure)."
"menguasai network maintenance tools seperti mikrotik, prometheus dan gravana","menguasai network maintenance tools seperti mikrotik, prometheus dan gravana","Mastering network maintenance tools such as Mikrotik, Prometheus and Gravana","menguasai network maintenance tools seperti mikrotik, prometheus dan gravana Mastering network maintenance tools such as Mikrotik, Prometheus and Gravana"
menguasai tools kontainerisasi (docker / kubernetes) dan virtualisasi (proxmox dan vmware),menguasai tools kontainerisasi (docker / kubernetes) dan virtualisasi (proxmox dan vmware),master containerization tools (docker / kubernetes) and virtualization (proxmox and vmware),menguasai tools kontainerisasi (docker / kubernetes) dan virtualisasi (proxmox dan vmware) master containerization tools (docker / kubernetes) and virtualization (proxmox and vmware)
"menguasai hosting tools, seperti domain, web security, cpanel, ssl","menguasai hosting tools, seperti domain, web security, cpanel, ssl","Master hosting tools, such as domains, web security, CPanel, SSL","menguasai hosting tools, seperti domain, web security, cpanel, ssl Master hosting tools, such as domains, web security, CPanel, SSL"
menguasai vpn network untuk komunikasi antar jaringan,menguasai vpn network untuk komunikasi antar jaringan,master VPN network for communication between networks,menguasai vpn network untuk komunikasi antar jaringan master VPN network for communication between networks
mampu berkomunikasi dan memberikan service yang baik ke user,mampu berkomunikasi dan memberikan service yang baik ke user,Able to communicate and provide good service to users,mampu berkomunikasi dan memberikan service yang baik ke user Able to communicate and provide good service to users
"melakukan maintenance, backup data, dan update sistem secara rutin","melakukan maintenance, backup data, dan update sistem secara rutin","carry out maintenance, backup data, and update the system regularly","melakukan maintenance, backup data, dan update sistem secara rutin carry out maintenance, backup data, and update the system regularly"
mengumpulkan kebutuhan user terkait sistem dan aplikasi,mengumpulkan kebutuhan user terkait sistem dan aplikasi,collect user requirements related to systems and applications,mengumpulkan kebutuhan user terkait sistem dan aplikasi collect user requirements related to systems and applications
berkoordinasi dengan vendor it untuk men-support infrastruktur dan perbaikan sistem,berkoordinasi dengan vendor it untuk men-support infrastruktur dan perbaikan sistem,coordinating with IT vendors to support infrastructure and system improvements,berkoordinasi dengan vendor it untuk men-support infrastruktur dan perbaikan sistem coordinating with IT vendors to support infrastructure and system improvements
"mengelola user access, inventory it asset, dan dokumentasi sistem","mengelola user access, inventory it asset, dan dokumentasi sistem","managing user access, IT asset inventory, and system documentation","mengelola user access, inventory it asset, dan dokumentasi sistem managing user access, IT asset inventory, and system documentation"
"memasang, meng-konfigurasi, dan mendukung peralatan jaringan termasuk router, server, firewall, proxy, wan, dns, dan dhcp.","memasang, meng-konfigurasi, dan mendukung peralatan jaringan termasuk router, server, firewall, proxy, wan, dns, dan dhcp.","install, configure, and support network equipment including routers, servers, firewalls, proxies, WAN, DNS, and DHCP.","memasang, meng-konfigurasi, dan mendukung peralatan jaringan termasuk router, server, firewall, proxy, wan, dns, dan dhcp. install, configure, and support network equipment including routers, servers, firewalls, proxies, WAN, DNS, and DHCP."
meng-konfigurasi jaringan firewall dan routing untuk memaksimalkan efisiensi dan keamanan jaringan,meng-konfigurasi jaringan firewall dan routing untuk memaksimalkan efisiensi dan keamanan jaringan,configure network firewalls and routing to maximize network efficiency and security,meng-konfigurasi jaringan firewall dan routing untuk memaksimalkan efisiensi dan keamanan jaringan configure network firewalls and routing to maximize network efficiency and security
"memaksimalkan kinerja jaringan melalui maintenance, pemantauan, dan pemecahan masalah yang berkelanjutan","memaksimalkan kinerja jaringan melalui maintenance, pemantauan, dan pemecahan masalah yang berkelanjutan","maximize network performance through ongoing maintenance, monitoring and troubleshooting","memaksimalkan kinerja jaringan melalui maintenance, pemantauan, dan pemecahan masalah yang berkelanjutan maximize network performance through ongoing maintenance, monitoring and troubleshooting"
"menganalisis, merancang, dan merencanakan konfigurasi server di pusat data perusahaan","menganalisis, merancang, dan merencanakan konfigurasi server di pusat data perusahaan","analyze, design, and plan server configurations in corporate data centers","menganalisis, merancang, dan merencanakan konfigurasi server di pusat data perusahaan analyze, design, and plan server configurations in corporate data centers"
melakukan simulasi rencana pemulihan bencana secara berkala,melakukan simulasi rencana pemulihan bencana secara berkala,carry out periodic disaster recovery plan simulations,melakukan simulasi rencana pemulihan bencana secara berkala carry out periodic disaster recovery plan simulations
"familiar dengan server cloud, terkhusus azure dan google cloud providers","familiar dengan server cloud, terkhusus azure dan google cloud providers","familiar with cloud servers, especially Azure and Google Cloud providers","familiar dengan server cloud, terkhusus azure dan google cloud providers familiar with cloud servers, especially Azure and Google Cloud providers"
"mysql, azure mysql, sql server, bigquery","mysql, mysql biru, server sql, bigquery","mysql, azure mysql, sql server, bigquery","mysql, mysql biru, server sql, bigquery mysql, azure mysql, sql server, bigquery"
"linux os ubuntu, centos, sles, dan windows server","linux os ubuntu, centos, sles, dan windows server","linux os ubuntu, centos, sles, dan windows server","linux os ubuntu, centos, sles, dan windows server"
"microsoft entra id, microsoft defender for cloud, microsoft 365","microsoft entra id, microsoft pembela untuk cloud, microsoft 365","microsoft entra id, microsoft defender for cloud, microsoft 365","microsoft entra id, microsoft pembela untuk cloud, microsoft 365 microsoft entra id, microsoft defender for cloud, microsoft 365"
"familiar dengan backup, high availability, dan dr","familiar dengan backup, high availability, dan dr","familiar with backup, high availability, and dr","familiar dengan backup, high availability, dan dr familiar with backup, high availability, and dr"
"proficient in linux administration, mariadb, and aws (ecs).","mahir dalam administrasi linux, mariadb, dan aws (ecs).","proficient in linux administration, mariadb, and aws (ecs).","mahir dalam administrasi linux, mariadb, dan aws (ecs). proficient in linux administration, mariadb, and aws (ecs)."
strong understanding of linux server installation & administration.,pemahaman yang kuat tentang instalasi & administrasi server linux.,strong understanding of linux server installation & administration.,pemahaman yang kuat tentang instalasi & administrasi server linux. strong understanding of linux server installation & administration.
skilled in vm/server setup & configuration.,terampil dalam pengaturan & konfigurasi vm/server.,skilled in vm/server setup & configuration.,terampil dalam pengaturan & konfigurasi vm/server. skilled in vm/server setup & configuration.
experienced with grafana & zabbix or aws cloudwatch for monitoring.,berpengalaman dengan grafana & zabbix atau aws cloudwatch untuk pemantauan.,experienced with grafana & zabbix or aws cloudwatch for monitoring.,berpengalaman dengan grafana & zabbix atau aws cloudwatch untuk pemantauan. experienced with grafana & zabbix or aws cloudwatch for monitoring.
knowledgeable in mysql & postgresql server installation & administration.,berpengetahuan luas dalam instalasi & administrasi server mysql & postgresql.,knowledgeable in mysql & postgresql server installation & administration.,berpengetahuan luas dalam instalasi & administrasi server mysql & postgresql. knowledgeable in mysql & postgresql server installation & administration.
willing to work from the office (wfo) in bandung.,bersedia bekerja dari kantor (wfo) di bandung.,willing to work from the office (wfo) in bandung.,bersedia bekerja dari kantor (wfo) di bandung. willing to work from the office (wfo) in bandung.
experienced in orchestration using aws ecs and ansible/terraform.,berpengalaman dalam orkestrasi menggunakan aws ecs dan ansible/terraform.,experienced in orchestration using aws ecs and ansible/terraform.,berpengalaman dalam orkestrasi menggunakan aws ecs dan ansible/terraform. experienced in orchestration using aws ecs and ansible/terraform.
collaborate with cross-functional teams to ensure seamless integration and connectivity of systems.,berkolaborasi dengan tim lintas fungsi untuk memastikan integrasi dan konektivitas sistem yang lancar.,collaborate with cross-functional teams to ensure seamless integration and connectivity of systems.,berkolaborasi dengan tim lintas fungsi untuk memastikan integrasi dan konektivitas sistem yang lancar. collaborate with cross-functional teams to ensure seamless integration and connectivity of systems.
collaborate with other departments to identify and understand their it infrastructure needs and ensure the provision of reliable and scalable solutions,berkolaborasi dengan departemen lain untuk mengidentifikasi dan memahami kebutuhan infrastruktur TI mereka dan memastikan penyediaan solusi yang andal dan terukur,collaborate with other departments to identify and understand their it infrastructure needs and ensure the provision of reliable and scalable solutions,berkolaborasi dengan departemen lain untuk mengidentifikasi dan memahami kebutuhan infrastruktur TI mereka dan memastikan penyediaan solusi yang andal dan terukur collaborate with other departments to identify and understand their it infrastructure needs and ensure the provision of reliable and scalable solutions
monitor the performance and availability of the it infrastructure.,memantau kinerja dan ketersediaan infrastruktur TI.,monitor the performance and availability of the it infrastructure.,memantau kinerja dan ketersediaan infrastruktur TI. monitor the performance and availability of the it infrastructure.
"monitor performance and capacity of infrastructure components to identify and resolve bottlenecks, ensuring high availability and performance.","memantau kinerja dan kapasitas komponen infrastruktur untuk mengidentifikasi dan mengatasi hambatan, memastikan ketersediaan dan kinerja yang tinggi.","monitor performance and capacity of infrastructure components to identify and resolve bottlenecks, ensuring high availability and performance.","memantau kinerja dan kapasitas komponen infrastruktur untuk mengidentifikasi dan mengatasi hambatan, memastikan ketersediaan dan kinerja yang tinggi. monitor performance and capacity of infrastructure components to identify and resolve bottlenecks, ensuring high availability and performance."
"installs, configures and maintains approved system hardware and software components.","menginstal, mengkonfigurasi dan memelihara komponen perangkat keras dan perangkat lunak sistem yang disetujui.","installs, configures and maintains approved system hardware and software components.","menginstal, mengkonfigurasi dan memelihara komponen perangkat keras dan perangkat lunak sistem yang disetujui. installs, configures and maintains approved system hardware and software components."
implements predetermined software or hardware changes to rectify any issues.,mengimplementasikan perubahan perangkat lunak atau perangkat keras yang telah ditentukan sebelumnya untuk memperbaiki masalah apa pun.,implements predetermined software or hardware changes to rectify any issues.,mengimplementasikan perubahan perangkat lunak atau perangkat keras yang telah ditentukan sebelumnya untuk memperbaiki masalah apa pun. implements predetermined software or hardware changes to rectify any issues.
collects and maintains tracking and configuration documentation and plans,mengumpulkan dan memelihara dokumentasi dan rencana pelacakan dan konfigurasi,collects and maintains tracking and configuration documentation and plans,mengumpulkan dan memelihara dokumentasi dan rencana pelacakan dan konfigurasi collects and maintains tracking and configuration documentation and plans
"administers the set-up of new profiles, creates and updates access permissions and maintains user accounts for enterprise systems.","mengelola pengaturan profil baru, membuat dan memperbarui izin akses dan memelihara akun pengguna untuk sistem perusahaan.","administers the set-up of new profiles, creates and updates access permissions and maintains user accounts for enterprise systems.","mengelola pengaturan profil baru, membuat dan memperbarui izin akses dan memelihara akun pengguna untuk sistem perusahaan. administers the set-up of new profiles, creates and updates access permissions and maintains user accounts for enterprise systems."
"monitors performance and proactively identifies uptime issues, making recommendations for eliminating those issues.","memantau kinerja dan secara proaktif mengidentifikasi masalah uptime, membuat rekomendasi untuk menghilangkan masalah tersebut.","monitors performance and proactively identifies uptime issues, making recommendations for eliminating those issues.","memantau kinerja dan secara proaktif mengidentifikasi masalah uptime, membuat rekomendasi untuk menghilangkan masalah tersebut. monitors performance and proactively identifies uptime issues, making recommendations for eliminating those issues."
"maintains structured cabling systems, telecom systems, wan, lan, wireless networks and local internet, remote access, vpns, and connectivity protocol","memelihara sistem kabel terstruktur, sistem telekomunikasi, wan, lan, jaringan nirkabel dan internet lokal, akses jarak jauh, vpns, dan protokol konektivitas","maintains structured cabling systems, telecom systems, wan, lan, wireless networks and local internet, remote access, vpns, and connectivity protocol","memelihara sistem kabel terstruktur, sistem telekomunikasi, wan, lan, jaringan nirkabel dan internet lokal, akses jarak jauh, vpns, dan protokol konektivitas maintains structured cabling systems, telecom systems, wan, lan, wireless networks and local internet, remote access, vpns, and connectivity protocol"
provides support for connectivity or related network/communication issues for the user community.,memberikan dukungan untuk konektivitas atau masalah jaringan/komunikasi terkait untuk komunitas pengguna.,provides support for connectivity or related network/communication issues for the user community.,memberikan dukungan untuk konektivitas atau masalah jaringan/komunikasi terkait untuk komunitas pengguna. provides support for connectivity or related network/communication issues for the user community.
solve the problems that are still related to the tasks performed,menyelesaikan permasalahan yang masih berkaitan dengan tugas yang dilaksanakan,solve the problems that are still related to the tasks performed,menyelesaikan permasalahan yang masih berkaitan dengan tugas yang dilaksanakan solve the problems that are still related to the tasks performed
"maintaining good relationships with clients, superiors directly or indirectly and colleagues to uphold the ethnics of professionalism","menjaga hubungan baik dengan klien, atasan langsung maupun tidak langsung dan rekan kerja dengan menjunjung tinggi etnik profesionalisme","maintaining good relationships with clients, superiors directly or indirectly and colleagues to uphold the ethnics of professionalism","menjaga hubungan baik dengan klien, atasan langsung maupun tidak langsung dan rekan kerja dengan menjunjung tinggi etnik profesionalisme maintaining good relationships with clients, superiors directly or indirectly and colleagues to uphold the ethnics of professionalism"
strong analytical and planning skills;,keterampilan analitis dan perencanaan yang kuat;,strong analytical and planning skills;,keterampilan analitis dan perencanaan yang kuat; strong analytical and planning skills;
good communication and presentation skills;,keterampilan komunikasi dan presentasi yang baik;,good communication and presentation skills;,keterampilan komunikasi dan presentasi yang baik; good communication and presentation skills;
excellent problem-solving skills;,keterampilan pemecahan masalah yang sangat baik;,excellent problem-solving skills;,keterampilan pemecahan masalah yang sangat baik; excellent problem-solving skills;
"responsible for the stability of infrastructure devices, networks, and databases.","bertanggung jawab atas stabilitas perangkat infrastruktur, jaringan, dan database.","responsible for the stability of infrastructure devices, networks, and databases.","bertanggung jawab atas stabilitas perangkat infrastruktur, jaringan, dan database. responsible for the stability of infrastructure devices, networks, and databases."
"responsible for providing development solutions for activities related to infrastructure, networks, and database systems.","bertanggung jawab untuk memberikan solusi pengembangan untuk kegiatan yang berkaitan dengan infrastruktur, jaringan, dan sistem basis data.","responsible for providing development solutions for activities related to infrastructure, networks, and database systems.","bertanggung jawab untuk memberikan solusi pengembangan untuk kegiatan yang berkaitan dengan infrastruktur, jaringan, dan sistem basis data. responsible for providing development solutions for activities related to infrastructure, networks, and database systems."
ensures that the developed infrastructure and network meet user requirements.,memastikan bahwa infrastruktur dan jaringan yang dikembangkan memenuhi kebutuhan pengguna.,ensures that the developed infrastructure and network meet user requirements.,memastikan bahwa infrastruktur dan jaringan yang dikembangkan memenuhi kebutuhan pengguna. ensures that the developed infrastructure and network meet user requirements.
ensures the compatibility of infrastructure within a system with other systems.,memastikan kompatibilitas infrastruktur dalam suatu sistem dengan sistem lainnya.,ensures the compatibility of infrastructure within a system with other systems.,memastikan kompatibilitas infrastruktur dalam suatu sistem dengan sistem lainnya. ensures the compatibility of infrastructure within a system with other systems.
ensures data backup and it operational readiness for disaster recovery (dr).,memastikan cadangan data dan kesiapan operasionalnya untuk pemulihan bencana (dr).,ensures data backup and it operational readiness for disaster recovery (dr).,memastikan cadangan data dan kesiapan operasionalnya untuk pemulihan bencana (dr). ensures data backup and it operational readiness for disaster recovery (dr).
"designs, configures, and tests computer hardware, network software, and operating system software.","merancang, mengkonfigurasi, dan menguji perangkat keras komputer, perangkat lunak jaringan, dan perangkat lunak sistem operasi.","designs, configures, and tests computer hardware, network software, and operating system software.","merancang, mengkonfigurasi, dan menguji perangkat keras komputer, perangkat lunak jaringan, dan perangkat lunak sistem operasi. designs, configures, and tests computer hardware, network software, and operating system software."
monitors network performance to determine whether adjustments are needed and to identify where future changes should be made.,memantau kinerja jaringan untuk menentukan apakah penyesuaian diperlukan dan untuk mengidentifikasi di mana perubahan di masa depan harus dilakukan.,monitors network performance to determine whether adjustments are needed and to identify where future changes should be made.,memantau kinerja jaringan untuk menentukan apakah penyesuaian diperlukan dan untuk mengidentifikasi di mana perubahan di masa depan harus dilakukan. monitors network performance to determine whether adjustments are needed and to identify where future changes should be made.
"strong understanding and mastery of it infrastructure, networks, and database systems.","pemahaman dan penguasaan yang kuat terhadap infrastruktur, jaringan, dan sistem basis data.","strong understanding and mastery of it infrastructure, networks, and database systems.","pemahaman dan penguasaan yang kuat terhadap infrastruktur, jaringan, dan sistem basis data. strong understanding and mastery of it infrastructure, networks, and database systems."
strong understanding and mastery of data center governance.,pemahaman dan penguasaan yang kuat terhadap tata kelola pusat data.,strong understanding and mastery of data center governance.,pemahaman dan penguasaan yang kuat terhadap tata kelola pusat data. strong understanding and mastery of data center governance.
"performing installation, troubleshooting server (windows, centos virtualisai, active directory)","melakukan instalasi, mengatasi masalah server (windows, centos virtualisai, direktori aktif)","performing installation, troubleshooting server (windows, centos virtualisai, active directory)","melakukan instalasi, mengatasi masalah server (windows, centos virtualisai, direktori aktif) performing installation, troubleshooting server (windows, centos virtualisai, active directory)"
"installation and troubleshooting of router network devices (cisco, mikrotik, etc.), vlan switching","instalasi dan pemecahan masalah perangkat jaringan router (cisco, mikrotik, dll), vlan switching","installation and troubleshooting of router network devices (cisco, mikrotik, etc.), vlan switching","instalasi dan pemecahan masalah perangkat jaringan router (cisco, mikrotik, dll), vlan switching installation and troubleshooting of router network devices (cisco, mikrotik, etc.), vlan switching"
"troubleshoot access control devices, security (firewall, cctv, etc.)","memecahkan masalah perangkat kontrol akses, keamanan (firewall, cctv, dll.)","troubleshoot access control devices, security (firewall, cctv, etc.)","memecahkan masalah perangkat kontrol akses, keamanan (firewall, cctv, dll.) troubleshoot access control devices, security (firewall, cctv, etc.)"
"monitor and follow up to providers regarding server devices, network","memantau dan menindaklanjuti penyedia mengenai perangkat server, jaringan","monitor and follow up to providers regarding server devices, network","memantau dan menindaklanjuti penyedia mengenai perangkat server, jaringan monitor and follow up to providers regarding server devices, network"
perform administration of it infrastructure documents,melakukan penatausahaan dokumen infrastrukturnya,perform administration of it infrastructure documents,melakukan penatausahaan dokumen infrastrukturnya perform administration of it infrastructure documents
go visit the assigned factory/shop/area,pergi mengunjungi pabrik/toko/area yang ditentukan,go visit the assigned factory/shop/area,pergi mengunjungi pabrik/toko/area yang ditentukan go visit the assigned factory/shop/area
melakukan pemantauan performa dan troubleshooting untuk mencegah downtime.,melakukan pemantauan performa dan troubleshooting untuk mencegah downtime.,carry out performance monitoring and troubleshooting to prevent downtime.,melakukan pemantauan performa dan troubleshooting untuk mencegah downtime. carry out performance monitoring and troubleshooting to prevent downtime.
"menangani platform virtualisasi (vmware/nutanix/hyper-v), termasuk deployment, migration, backup, dan monitoring.","menangani platform virtualisasi (vmware/nutanix/hyper-v), termasuk deployment, migration, backup, dan monitoring.","handling virtualization platforms (vmware/nutanix/hyper-v), including deployment, migration, backup, and monitoring.","menangani platform virtualisasi (vmware/nutanix/hyper-v), termasuk deployment, migration, backup, dan monitoring. handling virtualization platforms (vmware/nutanix/hyper-v), including deployment, migration, backup, and monitoring."
memastikan kesiapan dan kelengkapan dokumen drp.,memastikan kesiapan dan kelengkapan dokumen drp.,ensure the readiness and completeness of drp documents.,memastikan kesiapan dan kelengkapan dokumen drp. ensure the readiness and completeness of drp documents.
berkoordinasi dengan vendor terkait layanan infrastruktur.,berkoordinasi dengan vendor terkait layanan infrastruktur.,coordinating with vendors regarding infrastructure services.,berkoordinasi dengan vendor terkait layanan infrastruktur. coordinating with vendors regarding infrastructure services.
"mengelola aset infrastruktur ti, dokumentasi topologi jaringan, dan sop operasional.","mengelola aset infrastruktur ti, dokumentasi topologi jaringan, dan sop operasional.","managing IT infrastructure assets, network topology documentation, and operational SOPs.","mengelola aset infrastruktur ti, dokumentasi topologi jaringan, dan sop operasional. managing IT infrastructure assets, network topology documentation, and operational SOPs."
pengalaman minimal,pengalaman minimal,minimal experience,pengalaman minimal minimal experience
"dalam it infrastructure, dengan min.","di dalamnya infrastruktur, dengan min.","in it infrastructure, with min.","di dalamnya infrastruktur, dengan min. in it infrastructure, with min."
menguasai:,mendominasi:,dominate:,mendominasi: dominate:
windows server & linux,server windows & linux,windows server & linux,server windows & linux windows server & linux
"lan/wan, firewall, vlan, vpn, routing & switching","lan/wan, firewall, vlan, vpn, perutean & peralihan","lan/wan, firewall, vlan, vpn, routing & switching","lan/wan, firewall, vlan, vpn, perutean & peralihan lan/wan, firewall, vlan, vpn, routing & switching"
"firewall (fortigate/palo alto, dll.)","firewall (fortigate/palo alto, dll.)","firewall (fortigate/palo alto, dll.)","firewall (fortigate/palo alto, dll.)"
platform virtualisasi (vmware/nutanix/hyper-v),platform virtualisasi (vmware/nutanix/hyper-v),platform virtualisasi (vmware/nutanix/hyper-v),platform virtualisasi (vmware/nutanix/hyper-v)
"active directory (dns, dhcp, gpo)","direktori aktif (dns, dhcp, gpo)","active directory (dns, dhcp, gpo)","direktori aktif (dns, dhcp, gpo) active directory (dns, dhcp, gpo)"
"sertifikasi pendukung lebih disukai (ccna, mcsa).","sertifikasi pendukung lebih disukai (ccna, mcsa).","supporting certification preferred (ccna, mcsa).","sertifikasi pendukung lebih disukai (ccna, mcsa). supporting certification preferred (ccna, mcsa)."
